82,3,28,3,processed,83 jpg images,2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.casa.buhos.sfma,sfm,null
83,4,29,3,processed,110 jpg images,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.venado.sfma,sfm,null
84,4,29,3,processed,"431 jpg images, of small two walled (ballcourt?) structure next to venado ",2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.venado.side.sfmg,sfm,null
85,3,29,3,processed,1597 jpg images,2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.15\2018.07.15.venado.sfmg,sfm,null
86,5,30,4,processed,1099 jpg images,2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\akab_dzib,sfm,null
87,4,30,5,processed,1 laz pointcloud,2023-11-02,null,pointclouds,null
88,3,31,3,processed,174 jpg images,2018-07-14,"mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.tzompantli.sfma""",sfm,null
89,3,31,3,processed,3119 jpg images,2018-07-14,"mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.tzompantli.sfmg""",sfm,null
90,3,32,6,processed,112 jpg images,2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\PHOTOS_DRONE_ARLETTE\CENOTE_SAGRADO_10_02_2023,sfm,null
91,3,32,4,unprocessed,26 jpg images,2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\Meacham_Drone Panoramics data\20230210-Mavic2-360s\Cenote Sagrado Pano,360 pano,null
92,4,32,4,processed,stitched pano and 26 jpg images ,2023-11-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_smeacham\Meacham_Drone Panoramics data\20230211-Mavic2-360s\Cenote Sagrado Panoramic,360 pano,null
93,4,33,5,processed,467 jpg images,2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_drissolo\frogs_sacred_cenote,sfm,null
94,5,34,5,processed,"582 jpg images, covering interior and exterior ",2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\SFM_drissolo\templo_cenote_sagrado,sfm,null
95,3,34,5,processed,1 laz pointcloud,2023-07-02,null,pointclouds,null
96,4,35,6,processed,222 jpg images with metashape files ,2023-06-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\PHOTOS_DRONE_ARLETTE\OBSERVATORIO_6_02_2023,sfm,null
97,5,35,3,processed,1332 jpg images,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.16\2018.07.16.osario.sfmg,sfm,null
98,4,35,5,processed,5 laz pointclouds,2023-07-02,null,pointclouds,null
99,6,36,3,processed,1987 images,2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.casa.yugo.sfmg,sfm,null
100,4,29,8,processed,"two LAS pointclouds, detailing fulle xterior and foyer, not deepest interior rooms. the 2nd model shows only the glyph panel",2018-11-24,mexico_chichen_Itza\mexico_chichen_itza_2023\master\INAH_contributed\casa_colorada,sfm derivatives,null
101,3,29,3,null,"two projects, 2048 jpg images ",2018-07-15,null,sfm,null
102,4,29,3,null,672 jpg images,2018-07-16,null,sfm,null
103,4,37,3,processed,618 jpg images,2018-07-16,"mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.tortuga.sfmg""",sfm,null
104,3,38,3,processed,1661 jpg images,2018-07-17,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.aguilas.jaguares.sfma ,sfm,null
105,3,38,3,processed,153 images,2018-07-18,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.aguilas.jaguares.sfmg,sfm,null
106,5,39,6,processed,37 jpg images,2023-10-02,mexico_chichen_Itza\mexico_chichen_itza_2023\master\PHOTOS_DRONE_ARLETTE\CENOTE_XTOLOC_10_02_2023,sfm,null
107,4,40,5,null,1 laz pointcloud,2023-02-01,null,pointclouds,null
108,3,41,3,processed,487 images,2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.templo.inicial.sfma,sfm,null
109,4,41,3,processed,2278 jpeg images,2018-07-13,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.13\2018.07.13.templo.inicial.sfmg,sfm,null
110,3,42,3,processed,1114 jpg images,2018-07-14,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.casa.monos.sfmg,sfm,null
111,4,42,3,processed,150 images,2018-07-15,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.castello.orbit.sfma,sfm,null
112,2,42,3,processed,189 jpg images showing chultun adjacent to casa monos,2018-07-16,mexico_chichen_Itza\mexico_chichen_itza_july_2018\master\2018.07.14\2018.07.14.chultun.sfmg,sfm,null
113,2,43,9,processed,"The provenance and processing pipeline of this dataset is unclear, as such, it is not published publicly",2005-12-11,mexico_chichen_Itza\mexico_cyark_chichen_tls_2005\balankanche,pointclouds,null
